Bisaya,Tagalog,English,Part of Speech,Pronunciation,Category,Beginner Example (Bisaya),Beginner English Translation,Beginner Tagalog Translation,Intermediate Example (Bisaya),Intermediate English Translation,Intermediate Tagalog Translation,Advanced Example (Bisaya),Advanced English Translation,Advanced Tagalog Translation
Siyam,Siyam,Nine,Number,see-YAM,Numbers,Siyam ka libro.,Nine books.,Siyam na libro.,Siyam ka adlaw ang hulat.,The wait is nine days.,Siyam na araw ang paghihintay.,Siyam ka tuig ang iyang pagbilar sa kompanya.,He served the company for nine years.,Siyam na taon siyang nagtrabaho sa kompanya.
Napulo,Sampu,Ten,Number,nah-POO-loh,Numbers,Napulo ka prutas.,Ten fruits.,Sampung prutas.,Napulo ka estudyante ang niapil.,Ten students joined.,Sampung estudyante ang sumali.,Napulo ka bulan sila nag-andam sa proyekto.,They prepared the project for ten months.,Sampung buwan nilang inihanda ang proyekto.
Adlaw,Araw,Day,Adjective,AD-law,Time,Maayong adlaw.,Good day.,Magandang araw.,Adlaw nga init kaayo karon.,Today is very hot.,Ang init ng araw ngayon.,Ang adlaw nga akong gihulat miabot na.,The day I waited for has arrived.,Dumating na ang araw na hinihintay ko.
Bulán,Buwan,Month,Noun,boo-LAHN,Time,Sunod bulan magsugod ang klase.,Classes start next month.,Sa susunod na buwan ang pasukan.,Daghan kaayong panghitabo karong bulan.,Many events this month.,Maraming nangyayari ngayong buwan.,Ang Bulan nga makapaayo sa negosyo mao ang Disyembre.,December is the month good for business.,Ang buwan na maganda para sa negosyo ay Disyembre.
Tuig,Taon,Year,Noun,too-EEG,Time,Bag-ong tuig.,New year.,Bagong taon.,Usa ka tuig ko nagpuyo sa Davao.,I lived in Davao for a year.,Isang taon akong tumira sa Davao.,Ang tuig nga puno og pagsulay nakapauswag nako.,The year full of challenges helped me grow.,Ang taon ng pagsubok ang nagpalago sa akin.
Oras,Oras,Hour/Time,Noun,OH-ras,Time,Unsa oras na?,What time is it?,Anong oras na?,Walay igong oras sa proyekto.,There is not enough time for the project.,Kulang ang oras para sa proyekto.,Ang akong oras karon puno sa buluhaton.,My time today is full of tasks.,Puno ng gawain ang oras ko ngayon.
Minuto,Minuto,Minute,Noun,mee-NOO-toh,Time,Usa ka minuto lang.,Just one minute.,Isang minuto lang.,Naa koy pipila ka minuto.,I have a few minutes.,May ilang minuto ako.,"Sa usa ka minuto, pwede mausab ang tanan.","In one minute, everything can change.","Sa isang minuto, maaaring magbago ang lahat."
Segundo,Segundo,Second,Noun,seh-GOON-doh,Time,Hulat og usa ka segundo.,Wait one second.,Maghintay ka ng isang segundo.,Paspas kaayo ang segundo moagi.,Seconds pass quickly.,Mabilis lumipas ang segundo.,Ang matag segundo importante sa kompetisyon.,Every second matters in a competition.,Ang bawat segundo ay mahalaga sa kompetisyon.
Karon,Ngayon,Now,Adverb,KA-ron,Time,Karon ko magsugod.,I will start now.,Ngayon ako magsisimula.,Karon ta magkita.,We will meet now.,Magkikita tayo ngayon.,"Karon nga panahon, daghan og kausaban.","These days, there are many changes.","Sa panahon ngayon, maraming pagbabago."
Kadto,Noon,Back then,Adverb,KAD-toh,Time,Kadto bata pa ko.,"Back then, I was a child.","Noon, bata pa ako.",Kadto nga panahon hilum kaayo ang lugar.,Back then the place was quiet.,Noon tahimik ang lugar.,Kadto panahona daghan kaayong natabo sa akong pamilya.,"During that time, many things happened to my family.","Noong panahong iyon, maraming nangyari sa pamilya ko."
Ugma,Bukas,Tomorrow,Adverb,oog-MAH,Time,Ugma ta magkita.,We will meet tomorrow.,Bukassem magkikita tayo.,Ugma magsugod ang klase.,The class starts tomorrow.,Bukas magsisimula ang klase.,Ugma nako tapuson ang report.,I will finish the report tomorrow.,Bukas ko tatapusin ang report.
Gahapon,Kahapon,Yesterday,Adverb,gah-HAH-pon,Time,Niadto ko mall gahapon.,I went to the mall yesterday.,Pumunta ako sa mall kahapon.,Gahapon ko nahuman ang assignment.,I finished the assignment yesterday.,Natapos ko ang assignment kahapon.,Gahapon nga adlaw importante kaayo sa among pamilya.,Yesterday was very important to our family.,Mahalaga ang araw kahapon sa aming pamilya.
Karon nga adlaw,Ngayong araw,Today,Adverb,KA-ron ngah AD-law,Time,Karon nga adlaw lipay ko.,Today I am happy.,Ngayong araw masaya ako.,Karon nga adlaw daghan kog buhaton.,I have many tasks today.,Ngayong araw marami akong gagawin.,Karon nga adlaw akong gisugdan ang diyeta.,I started my diet today.,Ngayong araw ko sinimulan ang diyeta.
Tubig,Tubig,Water,Noun,TOO-big,Food/Groceries,Gusto ko ug tubig.,I want water.,Gusto ko ng tubig.,Naa koy tubig sa botelya.,I have bottled water.,May tubig ako sa bote.,Nipalit ko og tubig kay giuhaw kaayo ko.,I bought water because I was very thirsty.,Bumili ako ng tubig dahil uhaw na uhaw ako.
Pagkaon,Pagkain,Food,Noun,pag-KA-on,Food/Groceries,Naa koy pagkaon.,I have food.,May pagkain ako.,Nagluto ko og pagkaon.,I cooked food.,Nagluto ako ng pagkain.,Nag-andam ko og pagkaon para sa bisita.,I prepared food for the guest.,Naghanda ako ng pagkain para sa bisita.
Kan-on,Kanin,Cooked Rice,Noun,kan-ON,Food/Groceries,Gusto ko ug kan-on.,I want rice.,Gusto ko ng kanin.,Naa koy kan-on sa plato.,I have rice on my plate.,May kanin ako sa plato.,Gikaon nako ang kan-on nga giluto ni mama.,I ate the rice my mom cooked.,Kinaing ko ang kaning niluto ni mama.
Pan,Tinapay,Bread,Noun,pan,Food,Pan akong gipalit.,I bought bread.,Bumili ako ng tinapay.,Lami ang pan nga imong gidala.,The bread you brought is delicious.,Masarap ang tinapay na dinala mo.,Pan nga among gikaon gahapon lami kaayo.,The bread we ate yesterday was very good.,Masarap ang tinapay na kinain namin kahapon.
Itlog,Itlog,Egg,Noun,it-LOG,Food,Naa kay itlog?,Do you have eggs?,May itlog ka ba?,Giluto nako ang itlog para sa pamahaw.,I cooked the egg for breakfast.,Nagluto ako ng itlog para sa almusal.,Ang itlog nga among gipalit bag-o pa kaayo.,The eggs we bought are very fresh.,Sariwa pa ang mga itlog na binili namin.
Manok,Manok,Chicken,Noun,ma-NOK,Food,Gusto ko ug manok.,I want chicken.,Gusto ko ng manok.,Giluto nako ang manok sa panihapon.,I cooked the chicken for dinner.,Nagluto ako ng manok para sa hapunan.,Ang manok nga giandam nako kagahapon lami kaayo.,The chicken I prepared yesterday was very delicious.,Ang manok na niluto ko kahapon ay napakasarap.
Baboy,Baboy,Pork,Noun,BA-boy,Food,Ganahan ko ug baboy.,I like pork.,Gusto ko ng baboy.,Gipalit nako ang baboy sa merkado.,I bought pork at the market.,Bumili ako ng baboy sa palengke.,Ang baboy nga among giihaw perfect kaayo ang lutong.,The pork we grilled yesterday was cooked perfectly.,Ang baboy na inihaw namin kahapon ay sakto ang pagkakaluto.
Baka,Baka,Beef,Noun,BA-kah,Food/Animals,Gusto ko ug karne sa baka.,I want beef.,Gusto ko ng karne ng baka.,Ang baka nagatambok sa uma.,The cow is growing fat on the farm.,Tumataba ang baka sa bukid.,Ang karne sa baka nga among gipalit maayo kaayo ang kalidad.,The beef we bought had very good quality.,Maganda ang kalidad ng karne ng baka na binili namin.
Isda,Isda,Fish,Noun,EES-dah,Food,Naa moy isda?,Do you have fish?,May isda ba kayo?,Giluto nako ang isda sa sabaw.,I cooked the fish as soup.,Nagluto ako ng isda bilang sabaw.,Ang isda nga gikan sa bay manghod pa gyud kaayo.,The fish from the sea was very fresh.,Napakasariwa ng isdang galing sa dagat.
Gulay,Gulay,Vegetable,Noun,GOO-lay,Food,Gusto ko ug gulay.,I want vegetables.,Gusto ko ng gulay.,Ang gulay presko kaayo karon.,The vegetables are very fresh today.,Sariwa ang gulay ngayon.,Gisulayan nako ang bag-ong resipe nga gulay kagahapon.,I tried a new vegetable recipe yesterday.,Sinubukan ko ang bagong resipe ng gulay kahapon.
Prutas,Prutas,Fruit,Noun,PROO-tas,Food,Ganahan ko ug prutas.,I like fruits.,Gusto ko ng prutas.,Presko ang mga prutas sa merkado.,The fruits in the market are fresh.,Sariwa ang mga prutas sa palengke.,Ang prutas nga among gipalit kagahapon tam-is kaayo.,The fruit we bought yesterday was very sweet.,Ang prutas na binili namin kahapon ay napakatamis.
Saging,Saging,Banana,Noun,SAH-ging,Food,Gusto ko ug saging.,I want bananas.,Gusto ko ng saging.,Daghan kaayo saging sa balay.,We have lots of bananas at home.,Maraming saging sa bahay.,Ang saging nga among gikaon kagahapon hinog kaayo.,The bananas we ate yesterday were very ripe.,Hinog na hinog ang saging na kinain namin kahapon.
Mangga,Mangga,Mango,Noun,MANG-gah,Food,Lami ang mangga.,Mango is delicious.,Masarap ang mangga.,Gipalit nako ang hilaw nga mangga.,I bought unripe mango.,Bumili ako ng hilaw na mangga.,Ang mangga nga among giandam gahapon tam-is ug aslom gamay.,The mango we prepared yesterday was sweet with slight sourness.,Matamis at bahagyang maasim ang manggang inihanda namin kahapon.
Kape,Kape,Coffee,Noun,ka-PEH,Beverages,Gusto ko ug kape.,I want coffee.,Gusto ko ng kape.,Nag-inom ko og kape buntag.,I drank coffee this morning.,Uminom ako ng kape kaninang umaga.,Ang kape nga akong gitimpla gahapon grabe ka-aroma.,The coffee I brewed yesterday had a strong aroma.,Ang kapeng tinimpla ko kahapon ay napabangó.
Gatas,Gatas,Milk,Noun,GAH-tas,Beverages,Naa koy gatas.,I have milk.,May gatas ako.,Gihatagan ko siya og baso nga gatas.,I gave him/her a glass of milk.,Binigyan ko siya ng gatas.,Ang gatas nga among gipalit kagahapon bugnaw ug lami.,The milk we bought yesterday was cold and tasty.,Malamig at masarap ang gatas na binili namin kahapon.
Asin,Asin,Salt,Noun,ah-SEEN,Condiments,Naa kay asin?,Do you have salt?,May asin ka ba?,Gigamit nako ang asin sa luto.,I used salt for cooking.,Ginamit ko ang asin sa pagluluto.,Ang asin nga akong gigamit kagahapon mao gyud ang nakapalamig sa putahe.,The salt I used yesterday really brought out the dish’s flavor.,Ang asin na ginamit ko kahapon ang nagpalasa sa ulam.
Asukar,Asukal,Sugar,Noun,ah-SU-kar,Condiments,Asukar akong gipalit.,I bought sugar.,Bumili ako ng asukal.,Asukar gamiton nako sa kape.,I will use sugar for my coffee.,Gagamitin ko ang asukal sa kape.,Ang asukar nga among gipalit gahapon barato ug limpyo.,The sugar we bought yesterday was cheap and clean.,Mura at malinis ang asukal na binili namin kahapon.
Amahan,Ama,Father,Noun,ah-MA-han,Family,Amahan nako siya.,He is my father.,Siya ang ama ko.,Ang amahan nagtrabaho sa opisina.,Father works at the office.,Ang ama ko ay nagtatrabaho sa opisina.,Ang akong amahan maoy nag-atiman namo sukad pagkabata.,My father has taken care of us since childhood.,Ang ama ko ang nag-alaga sa amin mula pagkabata.
Inahan,Ina,Mother,Noun,ee-na-HAN,Family,Akong inahan siya.,She is my mother.,Siya ang ina ko.,Ang inahan nagluto para sa tanan.,Mother cooked for everyone.,Ang ina ang nagluto para sa lahat.,Ang inahan nga akong gihigugma mao’y nag-amping kanamo pirme.,"My mother, whom I love, always cared for us.",Ang ina ko ang palaging nag-aalaga sa amin.
Igsoon,Kapatid,Sibling,Noun,ig-SO-on,Family,Usa nako siya ka igsoon.,He/she is my sibling.,Siya ay kapatid ko.,Akong igsoon mobiyahe karon.,My sibling will travel now.,Ang kapatid ko ay aalis ngayon.,Ang akong igsoon mao’ng tambayayong nako sukad sauna.,My sibling has always been my companion.,Ang kapatid ko ang matagal ko nang kasama.
Lalaki,Lalaki,Man,Noun,la-LA-ki,People,Lalaki siya.,He is a man.,Siya ay lalaki.,Lalaki nga kusgan siya.,He is a strong man.,Malakas na lalaki siya.,Ang lalaki nga akong nakaila gahapon buotan kaayo.,The man I met yesterday was very kind.,Ang lalaking nakilala ko kahapon ay napakabait.
Babaye,Babae,Woman,Noun,ba-BA-ye,People,Babaye siya.,She is a woman.,Siya ay babae.,Babaye nga matinud-anon siya.,She is an honest woman.,Matiyagang babae siya.,Ang babaye nga akong naistorya gahapon maalamon kaayo.,The woman I spoke with yesterday was very wise.,Ang babaeng nakausap ko kahapon ay napakatalino.
Bata,Bata,Child,Noun,BAH-ta,People,Ang bata nagdula.,The child is playing.,Naglalaro ang bata.,Ang bata nagtuon sa kwarto.,The child is studying in the room.,Nag-aaral ang bata sa kwarto.,Ang bata nga akong nakita gahapon buotan kaayo.,The child I saw yesterday was very kind.,Ang batang nakita ko kahapon ay mabait.
Tigulang,Matanda,Elderly,Noun,tee-GOO-lang,People,Tigulang siya.,He/She is old.,Matanda siya.,Tigulang nga tawo naglingkod sa bangko.,An elderly person is sitting on the bench.,Matandang tao ang nakaupo sa bangko.,Ang tigulang sa among silingan maayong tawo kaayo.,The elderly neighbor is a very good person.,Ang matandang kapitbahay namin ay napakabait.
Higala,Kaibigan,Friend,Noun,hee-GA-la,People,Higala nako siya.,He/She is my friend.,Kaibigan ko siya.,Ang akong higala moabot unya.,My friend will arrive later.,Darating mamaya ang kaibigan ko.,Ang higala nga akong nasaligan dugay na kaayo nakong kaila.,My trusted friend has known me for a long time.,Matagal ko nang kilala ang kaibigang pinagkakatiwalaan ko.
Ulo,Ulo,Head,Noun,OO-lo,Body Parts,Sakit akong ulo.,My head hurts.,Masakit ang ulo ko.,Natumba siya ug nasamad ang ulo.,He fell and injured his head.,Nadapa siya at nasugatan ang ulo.,Ang ulo nga iyang naigo gahapon dili pa maayo.,The head injury he got yesterday is still not healed.,Hindi pa gumagaling ang sugat sa ulo niya kahapon.
Mata,Mata,Eyes,Noun,MAH-ta,Body Parts,Hayag akong mata.,My eyes are clear.,Maliwanag ang mata ko.,Ang iyang mata lapad ug nindot.,Her eyes are big and beautiful.,Maganda at malaki ang mata niya.,Ang mata nga naluha kagabii kay nasakitan siya.,The eyes that cried last night because she was hurt.,Ang mga matang lumuha kagabi dahil nasaktan siya.
Ilong,Ilong,Nose,Noun,ee-LONG,Body Parts,Dako akong ilong.,My nose is big.,Malaki ang ilong ko.,Nagdugo iyang ilong.,His nose is bleeding.,Dumugo ang ilong niya.,Ang ilong nga gisamad sa aksidente nag-ayo na.,The nose injured in the accident has healed.,Gumaling na ang ilong na nasugatan sa aksidente.
Baba,Bibig,Mouth,Noun,BAH-ba,Body Parts,Abli imong baba.,Open your mouth.,Ibuka ang bibig mo.,Nangayo siya og pagkaon gamit iyang baba.,He asked for food using his mouth.,Hiningi niya ang pagkain gamit ang bibig.,Ang baba nga nasamad niya sa pagkahulog medyo maayo na.,The mouth cut from the fall is almost healed.,Ang bibig na nasugatan niya sa pagkakahulog ay gumagaling na.
Dunggan,Tenga,Ear,Noun,DUNG-gan,Body Parts,Sakit akong dunggan.,My ear hurts.,Masakit ang tenga ko.,Naminaw siya gamit iyang dunggan.,He listened using his ears., Nakinig siya gamit ang tenga niya.,Ang dunggan nga nabara gahapon giayo sa doktor.,The ear that got clogged yesterday was treated by the doctor.,Ang tengang nabara kahapon ay ginamot ng doktor.
Kamot,Kamay,Hand,Noun,KAH-mot,Body Parts,Pakita imong kamot.,Show your hand.,Ipakita ang kamay mo.,Gamit iyang kamot sa pagsulat.,He uses his hand to write.,Ginagamit niya ang kamay para magsulat.,Ang kamot nga nasamad niya sa trabaho nag-ayo na.,The hand he injured at work has healed.,Gumaling na ang kamay niyang nasugatan sa trabaho.
Tiil,Paa,Foot,Noun,tee-EEL,Body Parts,Sakit akong tiil.,My foot hurts.,Masakit ang paa ko.,Napudpod iyang tiil sa paglakaw.,His foot got sore from walking.,Napagod ang paa niya sa paglakad.,Ang tiil nga nasamad sa dalan nag-ayo na.,The foot wounded on the road has healed.,Gumaling na ang paa na nasugatan sa kalsada.
Tuhod,Tuhod,Knee,Noun,TOO-hod,Body Parts,Sakit akong tuhod.,My knee hurts.,Masakit ang tuhod ko.,Naligis iyang tuhod.,His knee got hit.,Nabangga ang tuhod niya.,Ang tuhod nga naigo gahapon dili pa maayo.,The knee injured yesterday is still not healed.,Hindi pa gumagaling ang tuhod na nasugatan kahapon.
Laway,Laway,Saliva,Noun,LAH-way,Body Parts,Naa kay laway.,You have saliva.,May laway ka.,Naglutaw ang laway sa iyang baba.,Saliva dripped from his mouth.,Tumutulo ang laway sa bibig niya.,Daghan kaayo siyag laway samtang natulog siya kagabii.,He drooled a lot while sleeping last night.,Marami siyang laway habang natutulog kagabi.
Ngipon,Ngipin,Teeth,Noun,NGE-pon,Body Parts,Nasakit akong ngipon.,My tooth hurts.,Masakit ang ngipin ko.,Nabungi iyang ngipon.,He chipped his tooth.,Nabungi ang ngipin niya.,Ang ngipon nga giayo sa dentista maayo kaayo pagkaplastar.,The teeth fixed by the dentist were aligned well.,Ang ngipin na inayos ng dentista ay maayos ang pagkakalagay.
Balay,Bahay,House,Noun,BAH-lay,Places,Dako ang balay.,The house is big.,Malaki ang bahay.,Limpyo ang balay kada adlaw.,The house is clean everyday.,Malinis ang bahay araw-araw.,Ang balay nga among gi-ayo kay nadaot sa bagyo.,We repaired the house damaged by the storm.,Inayos namin ang bahay na nasira ng bagyo.
